/Users/gexin/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2026-03-02 07:58:22,279 - __main__ - INFO -   - 检查 300750.SZ 的舆情...
2026-03-02 07:58:22,279 - __main__ - INFO - 本轮检查完成，300秒后继续...
2026-03-02 08:03:22,306 - __main__ - INFO - [2026-03-02 08:03:22] 开始舆情数据采集...
2026-03-02 08:03:22,307 - __main__ - INFO -   - 检查 600519.SS 的舆情...
2026-03-02 08:03:22,307 - __main__ - INFO -   - 检查 AAPL 的舆情...
2026-03-02 08:03:22,307 - __main__ - INFO -   - 检查 MSFT 的舆情...
2026-03-02 08:03:22,307 - __main__ - INFO -   - 检查 000001.SZ 的舆情...
2026-03-02 08:03:22,307 - __main__ - INFO -   - 检查 TSLA 的舆情...
2026-03-02 08:03:22,307 - __main__ - INFO -   - 检查 GOOGL 的舆情...
2026-03-02 08:03:22,307 - __main__ - INFO -   - 检查 NVDA 的舆情...
2026-03-02 08:03:22,307 - __main__ - INFO -   - 检查 300750.SZ 的舆情...
2026-03-02 08:03:22,307 - __main__ - INFO - 本轮检查完成，300秒后继续...
2026-03-02 08:08:22,468 - __main__ - INFO - [2026-03-02 08:08:22] 开始舆情数据采集...
2026-03-02 08:08:22,469 - __main__ - INFO -   - 检查 600519.SS 的舆情...
2026-03-02 08:08:22,469 - __main__ - INFO -   - 检查 AAPL 的舆情...
2026-03-02 08:08:22,469 - __main__ - INFO -   - 检查 MSFT 的舆情...
2026-03-02 08:08:22,469 - __main__ - INFO -   - 检查 000001.SZ 的舆情...
2026-03-02 08:08:22,469 - __main__ - INFO -   - 检查 TSLA 的舆情...
2026-03-02 08:08:22,469 - __main__ - INFO -   - 检查 GOOGL 的舆情...
2026-03-02 08:08:22,469 - __main__ - INFO -   - 检查 NVDA 的舆情...
2026-03-02 08:08:22,469 - __main__ - INFO -   - 检查 300750.SZ 的舆情...
2026-03-02 08:08:22,469 - __main__ - INFO - 本轮检查完成，300秒后继续...
2026-03-02 08:13:22,598 - __main__ - INFO - [2026-03-02 08:13:22] 开始舆情数据采集...
2026-03-02 08:13:22,599 - __main__ - INFO -   - 检查 600519.SS 的舆情...
2026-03-02 08:13:22,599 - __main__ - INFO -   - 检查 AAPL 的舆情...
2026-03-02 08:13:22,600 - __main__ - INFO -   - 检查 MSFT 的舆情...
2026-03-02 08:13:22,600 - __main__ - INFO -   - 检查 000001.SZ 的舆情...
2026-03-02 08:13:22,600 - __main__ - INFO -   - 检查 TSLA 的舆情...
2026-03-02 08:13:22,600 - __main__ - INFO -   - 检查 GOOGL 的舆情...
2026-03-02 08:13:22,600 - __main__ - INFO -   - 检查 NVDA 的舆情...
2026-03-02 08:13:22,600 - __main__ - INFO -   - 检查 300750.SZ 的舆情...
2026-03-02 08:13:22,600 - __main__ - INFO - 本轮检查完成，300秒后继续...
2026-03-02 08:18:22,640 - __main__ - INFO - [2026-03-02 08:18:22] 开始舆情数据采集...
2026-03-02 08:18:22,643 - __main__ - INFO -   - 检查 600519.SS 的舆情...
2026-03-02 08:18:22,643 - __main__ - INFO -   - 检查 AAPL 的舆情...
2026-03-02 08:18:22,643 - __main__ - INFO -   - 检查 MSFT 的舆情...
2026-03-02 08:18:22,643 - __main__ - INFO -   - 检查 000001.SZ 的舆情...
2026-03-02 08:18:22,643 - __main__ - INFO -   - 检查 TSLA 的舆情...
2026-03-02 08:18:22,643 - __main__ - INFO -   - 检查 GOOGL 的舆情...
2026-03-02 08:18:22,643 - __main__ - INFO -   - 检查 NVDA 的舆情...
2026-03-02 08:18:22,643 - __main__ - INFO -   - 检查 300750.SZ 的舆情...
2026-03-02 08:18:22,643 - __main__ - INFO - 本轮检查完成，300秒后继续...
2026-03-02 08:23:22,607 - __main__ - INFO - [2026-03-02 08:23:22] 开始舆情数据采集...
2026-03-02 08:23:22,609 - __main__ - INFO -   - 检查 600519.SS 的舆情...
2026-03-02 08:23:22,609 - __main__ - INFO -   - 检查 AAPL 的舆情...
2026-03-02 08:23:22,609 - __main__ - INFO -   - 检查 MSFT 的舆情...
2026-03-02 08:23:22,609 - __main__ - INFO -   - 检查 000001.SZ 的舆情...
2026-03-02 08:23:22,609 - __main__ - INFO -   - 检查 TSLA 的舆情...
2026-03-02 08:23:22,609 - __main__ - INFO -   - 检查 GOOGL 的舆情...
2026-03-02 08:23:22,609 - __main__ - INFO -   - 检查 NVDA 的舆情...
2026-03-02 08:23:22,609 - __main__ - INFO -   - 检查 300750.SZ 的舆情...
2026-03-02 08:23:22,609 - __main__ - INFO - 本轮检查完成，300秒后继续...
2026-03-02 08:28:22,609 - __main__ - INFO - [2026-03-02 08:28:22] 开始舆情数据采集...
2026-03-02 08:28:22,611 - __main__ - INFO -   - 检查 600519.SS 的舆情...
2026-03-02 08:28:22,612 - __main__ - INFO -   - 检查 AAPL 的舆情...
2026-03-02 08:28:22,612 - __main__ - INFO -   - 检查 MSFT 的舆情...
2026-03-02 08:28:22,612 - __main__ - INFO -   - 检查 000001.SZ 的舆情...
2026-03-02 08:28:22,612 - __main__ - INFO -   - 检查 TSLA 的舆情...
2026-03-02 08:28:22,612 - __main__ - INFO -   - 检查 GOOGL 的舆情...
2026-03-02 08:28:22,612 - __main__ - INFO -   - 检查 NVDA 的舆情...
2026-03-02 08:28:22,612 - __main__ - INFO -   - 检查 300750.SZ 的舆情...
2026-03-02 08:28:22,612 - __main__ - INFO - 本轮检查完成，300秒后继续...
2026-03-02 08:33:22,760 - __main__ - INFO - [2026-03-02 08:33:22] 开始舆情数据采集...
2026-03-02 08:33:22,763 - __main__ - INFO -   - 检查 600519.SS 的舆情...
2026-03-02 08:33:22,763 - __main__ - INFO -   - 检查 AAPL 的舆情...
2026-03-02 08:33:22,763 - __main__ - INFO -   - 检查 MSFT 的舆情...
