symbol,name,total_return,annual_return,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,volatility,var_95,beta,alpha,total_trades,win_rate,profit_factor,avg_trade
512760,芯片 ETF,74.13803538000025,29.359923073116654,0.93900846241174,1.188103705313929,1.425994823720816,20.589081099543176,28.072082551220134,-2.316159776866142,0,0,15,46.666666666666664,3.0756672767973416,4947.648975120003
515030,新能源车 ETF,60.09242969770013,24.408296476529646,0.8554339853261574,1.1032211029949202,1.143220765599321,21.350466341235382,25.02624029879658,-2.051127744715089,0,0,12,58.333333333333336,3.1339590359507556,4987.058893583335
515980,人工智能 AI ETF,26.52879444160013,11.53894058384861,0.19325519596342713,0.1300743183640558,0.2274171662128827,50.73909228579138,44.18479172722775,-2.433279431612724,0,0,15,40.0,1.6964702486433512,1768.0363707066697
515880,通信 ETF,-14.893605956499917,-7.211285369891862,-0.18892935824955143,-0.12615148412804808,-0.1115652055147218,64.6374049742622,54.04816628024568,-2.9139913465612097,0,0,12,41.66666666666667,0.9206181140756965,-1240.783951533335
512010,医药 ETF,1.7277303772000596,0.7981673081615348,-0.11682967170377187,-0.11468475710860873,0.03192205237022865,25.00363381728948,18.846519550455763,-1.5109583356131282,0,0,14,28.57142857142857,1.06583230230907,123.3556391428551
512170,医疗 ETF,23.98217185610009,10.49138429292029,0.37570493984332387,0.4795731102604079,0.6594432751253702,15.909456792816215,19.939541641492237,-1.532412851113295,0,0,13,46.15384615384615,2.1097135249876233,1844.2111788153863
512290,生物医药 ETF,6.98206505740009,3.1818587723457137,0.00947595053240517,0.009459878809103704,0.13368995982192833,23.800282209553135,19.191612675035216,-1.4885681381152471,0,0,14,35.714285714285715,1.2358039773902243,498.5524060999999
510150,消费 50ETF,20.001037052800093,8.830366116527099,0.35274863815572616,0.34056401018858634,0.5652828566895801,15.621146143082512,16.528387315710056,-1.1028768161087252,0,0,12,58.333333333333336,2.37329827540851,1666.2342023833326
515050,5GETF,100.63390186720021,38.14879864166711,1.1903026639188297,1.6317518778271858,2.024378446100245,18.84469710451463,29.529295117215675,-2.7179574428997344,0,0,12,50.0,3.191682866275347,8137.259641983335
512600,主要消费 ETF,-3.7384236823999384,-1.752738567741774,-0.28863748611612267,-0.2897025967889219,-0.09534571539269127,18.382981977983356,16.46611682943249,-1.1870678011837503,0,0,15,40.0,0.8150422399403665,-249.17062337333675
